"OTU","Sample","Abundance","Kingdom","Phylum"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0003",0,"teria","nobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0004",0,"teria","nobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0026",0,"teria","nobacteria"
"3ab61ffb86b753b43f425d630a87e7a1","S00PP-0017",0,"teria","nobacteria"
"536092e795cffb88b773ce7a825bf36e","S00PP-0008",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0003",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0018",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0002",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0015",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0010",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0012",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0016",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0011",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0019",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0022",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0023",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0007",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0013",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0024",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0009",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0004",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0020",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0030",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0005",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0021",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0028",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0017",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0027",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0029",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0014",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0025",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0006",0,"teria","oroflexi"
"536092e795cffb88b773ce7a825bf36e","S00PP-0026",0,"teria","oroflexi"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0013",0,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0015",0,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0002",0,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0003",0,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0023",0,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0021",0,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0016",0,"teria","inobacteriota"
"54990f8a1d19297ca852c5f1a8077299","S00PP-0027",0,"teria","inobacteriota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0030",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0027",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0015",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0028",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0003",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0011",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0016",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0012",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0017",0,"haea","yarchaeota"
"777bf3ba74100b7a4dbd872959a84eeb","S00PP-0021",0,"haea","yarchaeota"
